transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes
f2f3b0fc-b7d7-4d85-b682-cbf07ef77c1a,2025-03-06 12:04:00,7746.03,SEK,SE8902EWFT80524424320740,SE8902ZUIH32054423564254,Sweden,Karlskrona,Sweden,Eskilstuna,outgoing,Online purchase
feccbd1e-7752-4452-a44a-901510252561,2025-03-31 01:37:00,45193.04,SEK,SE8902GTSI58472323675409,SE8902ERNA19462716907689,Sweden,Piteå,Sweden,Norrköping,outgoing,Tax refund
bc6a480c-e2e1-434d-830c-1cda3f913038,2025-04-29 22:58:00,33029.71,SEK,SE8902SEZT63377163386089,SE8902LOLQ30361773270969,Sweden,Östersund,Sweden,Karlskoga,incoming,Tax refund
b832aa2c-77f3-4c4f-9697-9776b8d74abb,2025-02-27 14:52:00,35994 .61,SEK,SE8902MGEE43594824630478,SE8902XIVG18316797897983,Sweden,Karlstad,Sweden,Helsingborg,incoming,
0d32c6ef-508e-4f5d-bc64-341a0a9f498d,2025-01-03 22:29:00,32229.73,SEK,SE8902SZWO66860675966705,SE8902SUUS97732018069804,Sweden,Skellefteå,Sweden,Falun,outgoing,Tax refund
7c0bd0e9-8cc3-4e25-a6ab-d55b0a042b07,2025-01-13 04:03:00,14846.8,SEK,SE8902VNVB26444807190551,SE8902QDXU96051978299389,Sweden,Örebro,Sweden,Falun,outgoing,Consulting fee
7d878125-8fe6-4c40-a84e-64a558bd8980,2025-01-25 03:01:00,18670.7,SEK,SE8902SSFH90772655677771,SE8902UKGU22372539668767,Sweden,Umeå,Sweden,Lidköping,outgoing,Tax refund
cef446a3-e4de-4440-9442-082213fc5051,2025-04-07 16:48:00,42524.49,SEK,SE8902WEFD50718097527603,SE8902MPMD99811264245009,Sweden,Sundsvall,Sweden,Linköping,outgoing,Reimbursement for travel
c37d775a-fa89-4826-b5ef-ae74693fe6d6,2025-04-08 09:16:00,35278.89,SEK,SE8902QAJL37790123676980,SE8902FPSB19207759109856,Sweden,Växjö,Sweden,Karlskoga,incoming,Loan repayment
63044df6-0f08-42a0-9d80-9f4671f36f5b,2025-05-17 20:20:00,43971.83,SEK,SE8902NVQD71265390083232,SE8902LVHS64335396457755,Sweden,Uppsala,Sweden,Norrköping,incoming,Utility bill
56022c8c-68b0-433d-baa8-fefc0b9e38e5,2025-01-23 17:07:00,11928.67,SEK,SE8902RDGG19919929782660,SE8902IGPV25805639452120,Sweden,Östersund,Sweden,Kristianstad,outgoing,Mobile recharge
d08e66e1-61eb-4209-9b7a-29d4c6ae19c1,2025-01-24 05:54:00,40364.62,SEK,SE8902RYKE86473925510810,SE8902OPJP99340886991741,Sweden,Uddevalla,Sweden,Karlskoga,outgoing,Reimbursement for travel
d35b30b0-19a7-40de-bbbb-3149d3bcea19,2025-01-22 17:45:00,35967.1,SEK,SE8902EXIB33653688394695,SE8902SEOH55592315458862,Sweden,Kristianstad,Sweden,Trelleborg,incoming,Reimbursement for travel
e77e5282-0c62-4443-a50f-01bc87599472,2025-03-01 01:21:00,2020.16,SEK,SE8902YIDX90394480287854,SE8902ZRLY01940686977078,Sweden,Uddevalla,Sweden,Stockholm,outgoing,Payment for invoice #1970
5166d5be-3dc6-4eb1-95f1-c2eeb0f0fd9f,2025-01-23 21:47:00,45745.77,SEK,SE8902ZLVI45179367688001,SE8902VSTM42148590412545,Sweden,Kalmar,Sweden,Borås,incoming,Rent transfer
095cf949-0f07-4119-8dfc-0cc10069de0b,2025-05-17 02:07:00, 28931.33,SEK,SE8902SOYR59886329051324,SE8902ZKAB71929181349934,Sweden,Örebro,Sweden,Jönköping,incoming,Gift to family member
48c3b1d5-3ec0-4f0f-b748-9832427a07a3,2025-02-23 08:45:00,40874.69,SEK,SE8902MOER82232856654070,SE8902HPUA63298198028138,Sweden,Borås,Sweden,Luleå,outgoing,Reimbursement for travel
8a76876f-7111-4505-a6d8-ddf08960d6ff,2025-05-08 18:22:00,45394.37,SEK,SE8902IYMB27114409415276,SE8902UDZX28475532786645,Sweden,Alingsås,Sweden,Kristianstad,outgoing,
618078f9-a4ac-43ec-bd80-e898e980378f,2025-02-19 12:34:00,42878.79,SEK,SE8902MAFK91613138529780,SE8902AHNV89692341198492,Sweden,Sandviken,Sweden,Kalmar,incoming,Online purchase
c5c847f4-6786-4fab-96f7-bd5610aca2a1,2025-03-11 18:00:00,6030.76,SEK,SE8902OBXZ56346380224186,SE8902IVUK70685762740591,Sweden,Luleå,Sweden,Skellefteå,incoming,Reimbursement for travel
330be551-a617-4794-bc3b-a0634cc9259f,2025-03-23 21:43:00,2255.75,SEK,SE8902EXDO77351409949930,SE8902UBZY42420742654613,Sweden,Varberg,Sweden,Skellefteå,incoming,Mobile recharge
2febeb98-9be5-4560-9525-2bf26f15f3be,2025-05-12 14:54:00,25764.07,SEK,SE8902IMVA62076292607481,SE8902XPGP64746722412276,Sweden,Karlstad,Sweden,Norrköping,incoming,Loan repayment
7d06d117-bea0-471d-a056-81de015a27df,2025-04-02 10:58:00,44178.57,SEK,SE8902FCQC45454489492127,SE8902SEOH55592315458862,Sweden,Växjö,Sweden,Lidingö,incoming,Insurance payout
f88d6469-8f71-4195-8318-9c8555eb79dd,2025-02-05 23:30:00,3569.69,SEK,SE8902FEBM25264070631694,SE8902ONOK52614437126010,Sweden,Gävle,Sweden,Halmstad,outgoing,Loan repayment
43f538b0-040c-4854-b4fd-20d9824030dd,2025-01-22 02:17:00,9342.34,SEK,SE8902TYPP30001101129706,SE8902ROIF90393361462445,Sweden,Lund,Sweden,Mölndal,outgoing,Online purchase
986ff6ea-e7f2-4c98-a2db-f4811588c155,2025-02-02 08:31:00,4803.64,SEK,SE8902OITA14634617944010,SE8902JNXI63455067931159,Sweden,Malmö,Sweden,Piteå,outgoing,Online purchase
bc78ec01-4a37-4de4-b636-e6d9863fa447,2025-05-04 22:19:00,24701.96,SEK,SE8902LZQY92721481049992,SE8902YUTJ92884606652331,Sweden,Lidingö,Sweden,Karlskoga,incoming,Payment for invoice #2446
9fa8b03b-1fd1-4ec1-a639-34978c297e8f,2025-01-11 06:00:00,38939.92,SEK,SE8902DGQN19511874636720,SE8902ONRA48891921866606,Sweden,Växjö,Sweden,Östersund,outgoing,Tax refund
d336f156-a0f0-42cb-9fa6-eda2f7373f88,2025-01-13 15:12:00,36474.5,SEK,SE8902KJCQ70293334969600,SE8902ILZB90860503618301,Sweden,Skellefteå,Sweden,Mölndal,incoming,Reimbursement for travel
53d4e8b1-ceff-4767-892c-d58f86681785,2025-01-02 14:58:00,23987.06,SEK,SE8902LCJQ73532447224180,SE8902UYST13141852485912,Sweden,Alingsås,Sweden,Karlstad,incoming,Tax refund
566368ad-14de-4bd0-93cd-0ca067f746af,2025-02-13 03:12:00,37533.88,SEK,SE8902MWDF84512259931131,SE8902NDRY94330087183063,Sweden,Östersund,Sweden,Lidköping,outgoing,Reimbursement for travel
a9cae67f-1746-4f60-b97c-b903f035efff,2025-03-05 17:31:00,31406.29,SEK,SE8902PBIN91837741717535,SE8902ROIF90393361462445,Sweden,Falun,Sweden,Växjö,outgoing,Consulting fee
e81a0f9c-5663-43b7-b8ad-fbb9f81fa409,2025-03-20 08:02:00,31668.27,SEK,SE8902VGPJ13283714502732,SE8902QBJU48285545311827,Sweden,Borlänge,Sweden,Örebro,outgoing,Rent transfer
51c7adf0-9c6a-4dd9-a788-e3211b934571,2025-03-28 15:25:00,23897.49,SEK,SE8902SSPJ00701476972617,SE8902JZHV12697549891051,Sweden,Lidköping,Sweden,Norrköping,incoming,Gift to family member
9ff7b303-955e-4c97-99f3-5730c1d3a09a,2025-02-03 04:08:00,11915.32,SEK,SE8902CPIS18550455661381,SE8902DKGL05263689539023,Sweden,Luleå,Sweden,Mölndal,incoming,Utility bill
aa988130-bccd-47a3-872e-313e36550d20,2025-03-15 21:02:00,9452.77,SEK,SE8902EGAU44847412777337,SE8902YIBX18686296958097,Sweden,Linköping,Sweden,Lidingö,outgoing,Utility bill
b12ce014-25c5-4512-bbfa-e5932ec9c6d8,2025-03-10 04:32:00,3168.89,SEK,SE8902IBAQ78684905583677,SE8902IABM71838135855326,Sweden,Stockholm,Sweden,Kristianstad,outgoing,
ccd39182-723e-4d0a-a52a-280ab75b5e78,2025-02-24 10:40:00,46339.26,SEK,SE8902ALDV54212317929105,SE8902WTFD23651921285545,Sweden,Örebro,Sweden,Eskilstuna,outgoing,Payment for invoice #9286
